"","H_num","SPECIES","value","trait"
"1","H1","ACMI",86.5714285714286,"SLA"
"2","H2","ACMI",37.9271689607452,"SLA"
"3","H3","ACMI",40.5766638365462,"SLA"
"4","H4","ACMI",21.3250792205292,"SLA"
"5","H1","ARTR",40.1024832305061,"SLA"
"6","H2","ARTR",32.7563411383682,"SLA"
"7","H3","ARTR",25.7649617912595,"SLA"
"8","H4","ARTR",23.4709171324584,"SLA"
"9","H1","ELTR",98.313835781038,"SLA"
"10","H2","ELTR",62.4030907892611,"SLA"
"11","H3","ELTR",58.4347019114366,"SLA"
"12","H4","ELTR",56.7891802014544,"SLA"
"13","H1","HEAN",31.9926373626374,"SLA"
"14","H2","HEAN",42.7293712450835,"SLA"
"15","H3","HEAN",33.5570832786535,"SLA"
"16","H4","HEAN",23.1164185519665,"SLA"
"17","H1","HECO",43.7974238872092,"SLA"
"18","H2","HECO",31.8678167266273,"SLA"
"19","H3","HECO",28.3484220995799,"SLA"
"20","H4","HECO",27.880720839217,"SLA"
"21","H1","HEVI",NA,"SLA"
"22","H2","HEVI",45.6403364817001,"SLA"
"23","H3","HEVI",27.2109592004058,"SLA"
"24","H4","HEVI",33.2120963316554,"SLA"
"25","H1","MACA",28.1225694444444,"SLA"
"26","H2","MACA",47.9598562268682,"SLA"
"27","H3","MACA",36.755123879058,"SLA"
"28","H4","MACA",25.8175577814765,"SLA"
"29","H1","MUPO",25.3142409281639,"SLA"
"30","H2","MUPO",23.3388991355172,"SLA"
"31","H3","MUPO",20.7316055546338,"SLA"
"32","H4","MUPO",50.1827453679056,"SLA"
"33","H1","PAMU",NA,"SLA"
"34","H2","PAMU",64.8622171357371,"SLA"
"35","H3","PAMU",51.1729067371485,"SLA"
"36","H4","PAMU",23.3030697357681,"SLA"
"37","H1","PLPA",88.7088454199395,"SLA"
"38","H2","PLPA",67.5060296719901,"SLA"
"39","H3","PLPA",45.6075969107497,"SLA"
"40","H4","PLPA",162.400633826787,"SLA"
"41","H1","VUOC",120.451369887108,"SLA"
"42","H2","VUOC",112.15284517597,"SLA"
"43","H3","VUOC",74.3588875088368,"SLA"
"44","H4","VUOC",66.0566213752435,"SLA"
"45","H1","ACMI",0.236274206349206,"LDMC"
"46","H2","ACMI",0.158473245578425,"LDMC"
"47","H3","ACMI",0.114990076931481,"LDMC"
"48","H4","ACMI",0.116289780187385,"LDMC"
"49","H1","ARTR",0.133617324033991,"LDMC"
"50","H2","ARTR",0.138428999502189,"LDMC"
"51","H3","ARTR",0.138063536423185,"LDMC"
"52","H4","ARTR",0.176518302161453,"LDMC"
"53","H1","ELTR",0.149529538303054,"LDMC"
"54","H2","ELTR",0.191209370436688,"LDMC"
"55","H3","ELTR",0.183778256801838,"LDMC"
"56","H4","ELTR",0.217428577610861,"LDMC"
"57","H1","HEAN",0.251195716565209,"LDMC"
"58","H2","HEAN",0.124633757570671,"LDMC"
"59","H3","HEAN",0.127599248182897,"LDMC"
"60","H4","HEAN",0.164243593288126,"LDMC"
"61","H1","HECO",0.19776968743463,"LDMC"
"62","H2","HECO",0.235494085539979,"LDMC"
"63","H3","HECO",0.254209290597015,"LDMC"
"64","H4","HECO",0.310052588820869,"LDMC"
"65","H1","HEVI",0.0714285714285714,"LDMC"
"66","H2","HEVI",0.207133641601551,"LDMC"
"67","H3","HEVI",0.264212580261484,"LDMC"
"68","H4","HEVI",0.142037235830656,"LDMC"
"69","H1","MACA",0.213895888013998,"LDMC"
"70","H2","MACA",0.126273091382681,"LDMC"
"71","H3","MACA",0.123615202518588,"LDMC"
"72","H4","MACA",0.15989062916354,"LDMC"
"73","H1","MUPO",0.201454205516706,"LDMC"
"74","H2","MUPO",0.128730604751435,"LDMC"
"75","H3","MUPO",0.165069768096226,"LDMC"
"76","H4","MUPO",0.166232982763634,"LDMC"
"77","H1","PAMU",0.125,"LDMC"
"78","H2","PAMU",0.232955224211493,"LDMC"
"79","H3","PAMU",0.10164878553639,"LDMC"
"80","H4","PAMU",0.134081861312701,"LDMC"
"81","H1","PLPA",0.0725960131049834,"LDMC"
"82","H2","PLPA",0.0977038346763952,"LDMC"
"83","H3","PLPA",0.114735927727652,"LDMC"
"84","H4","PLPA",0.146630748601587,"LDMC"
"85","H1","VUOC",0.16148624527252,"LDMC"
"86","H2","VUOC",0.124085817639362,"LDMC"
"87","H3","VUOC",0.144927281021711,"LDMC"
"88","H4","VUOC",0.186742623507374,"LDMC"
"89","H1","ACMI",0.360714305782901,"RMR"
"90","H2","ACMI",0.273776419153951,"RMR"
"91","H3","ACMI",0.335506274621273,"RMR"
"92","H4","ACMI",0.218728683957883,"RMR"
"93","H1","ARTR",0.262297593031286,"RMR"
"94","H2","ARTR",0.257631224565295,"RMR"
"95","H3","ARTR",0.253355810640397,"RMR"
"96","H4","ARTR",0.231178361966271,"RMR"
"97","H1","ELTR",0.503047185821422,"RMR"
"98","H2","ELTR",0.568104511260619,"RMR"
"99","H3","ELTR",0.307872878721556,"RMR"
"100","H4","ELTR",0.292196551002528,"RMR"
"101","H1","HEAN",0.240300882624484,"RMR"
"102","H2","HEAN",0.285032600847422,"RMR"
"103","H3","HEAN",0.182074681816799,"RMR"
"104","H4","HEAN",0.194002600177432,"RMR"
"105","H1","HECO",0.385177037905842,"RMR"
"106","H2","HECO",0.371604279978784,"RMR"
"107","H3","HECO",0.309735555910542,"RMR"
"108","H4","HECO",0.314831462588848,"RMR"
"109","H1","HEVI",0.285624244677393,"RMR"
"110","H2","HEVI",0.40304543656329,"RMR"
"111","H3","HEVI",0.308015451388222,"RMR"
"112","H4","HEVI",0.173083242439485,"RMR"
"113","H1","MACA",0.254154918673252,"RMR"
"114","H2","MACA",0.271412633781425,"RMR"
"115","H3","MACA",0.332316281151371,"RMR"
"116","H4","MACA",0.302346225454442,"RMR"
"117","H1","MUPO",0.356924666425764,"RMR"
"118","H2","MUPO",0.303048201291871,"RMR"
"119","H3","MUPO",0.412135172549791,"RMR"
"120","H4","MUPO",0.353024892658474,"RMR"
"121","H1","PAMU",0.321640077203936,"RMR"
"122","H2","PAMU",0.399701875019272,"RMR"
"123","H3","PAMU",0.309977518169535,"RMR"
"124","H4","PAMU",0.288536425483413,"RMR"
"125","H1","PLPA",0.401374715070775,"RMR"
"126","H2","PLPA",0.139112440237636,"RMR"
"127","H3","PLPA",0.146392734884829,"RMR"
"128","H4","PLPA",0.153878568622488,"RMR"
"129","H1","VUOC",0.535690553055433,"RMR"
"130","H2","VUOC",0.32937352906464,"RMR"
"131","H3","VUOC",0.274552902823495,"RMR"
"132","H4","VUOC",0.217643161248708,"RMR"
"133","H1","ACMI",27.1925613202018,"SRL"
"134","H2","ACMI",69.9368652856841,"SRL"
"135","H3","ACMI",65.1916293802416,"SRL"
"136","H4","ACMI",14.0992445215881,"SRL"
"137","H1","ARTR",31.8411912358133,"SRL"
"138","H2","ARTR",50.1772075398723,"SRL"
"139","H3","ARTR",19.6987549480285,"SRL"
"140","H4","ARTR",13.9674618451983,"SRL"
"141","H1","ELTR",35.2891032316076,"SRL"
"142","H2","ELTR",37.8686033286742,"SRL"
"143","H3","ELTR",37.6728962500676,"SRL"
"144","H4","ELTR",14.0649737584568,"SRL"
"145","H1","HEAN",16.3346984232158,"SRL"
"146","H2","HEAN",23.6398934361625,"SRL"
"147","H3","HEAN",26.3185973309699,"SRL"
"148","H4","HEAN",15.345139006516,"SRL"
"149","H1","HECO",13.0945748529726,"SRL"
"150","H2","HECO",18.8026927926206,"SRL"
"151","H3","HECO",20.8075003740621,"SRL"
"152","H4","HECO",13.6275003334051,"SRL"
"153","H1","HEVI",32.4778039064788,"SRL"
"154","H2","HEVI",32.5313795850229,"SRL"
"155","H3","HEVI",31.9000279687693,"SRL"
"156","H4","HEVI",20.1770814983701,"SRL"
"157","H1","MACA",33.5060886078474,"SRL"
"158","H2","MACA",43.2555514399141,"SRL"
"159","H3","MACA",23.5109879194083,"SRL"
"160","H4","MACA",15.6874451576695,"SRL"
"161","H1","MUPO",24.7474431620418,"SRL"
"162","H2","MUPO",65.9537090816294,"SRL"
"163","H3","MUPO",22.4339637441396,"SRL"
"164","H4","MUPO",9.14436533328179,"SRL"
"165","H1","PAMU",46.2099019207683,"SRL"
"166","H2","PAMU",49.8296957168555,"SRL"
"167","H3","PAMU",41.1568455834642,"SRL"
"168","H4","PAMU",15.9310096671727,"SRL"
"169","H1","PLPA",38.894486547682,"SRL"
"170","H2","PLPA",49.622190093319,"SRL"
"171","H3","PLPA",45.3688202931381,"SRL"
"172","H4","PLPA",40.9957867539229,"SRL"
"173","H1","VUOC",70.9919886960348,"SRL"
"174","H2","VUOC",67.8851842212501,"SRL"
"175","H3","VUOC",62.1312836609693,"SRL"
"176","H4","VUOC",59.0522267254492,"SRL"
"177","H1","ACMI",0.243736622073579,"RDMC"
"178","H2","ACMI",0.0878001051944141,"RDMC"
"179","H3","ACMI",0.0798620370670149,"RDMC"
"180","H4","ACMI",0.0769597838605661,"RDMC"
"181","H1","ARTR",0.131525415637645,"RDMC"
"182","H2","ARTR",0.105753360770692,"RDMC"
"183","H3","ARTR",0.0885946458206085,"RDMC"
"184","H4","ARTR",0.123831493444141,"RDMC"
"185","H1","ELTR",0.176031156127162,"RDMC"
"186","H2","ELTR",0.150848081468159,"RDMC"
"187","H3","ELTR",0.139952294626302,"RDMC"
"188","H4","ELTR",0.120061945593806,"RDMC"
"189","H1","HEAN",0.108434681356484,"RDMC"
"190","H2","HEAN",0.0732481425704975,"RDMC"
"191","H3","HEAN",0.0657428761974312,"RDMC"
"192","H4","HEAN",0.0875029620268536,"RDMC"
"193","H1","HECO",0.155457269029846,"RDMC"
"194","H2","HECO",0.134199544725547,"RDMC"
"195","H3","HECO",0.135681728917957,"RDMC"
"196","H4","HECO",0.143557895622572,"RDMC"
"197","H1","HEVI",0.0920598388331544,"RDMC"
"198","H2","HEVI",0.181332634406044,"RDMC"
"199","H3","HEVI",0.122777345535209,"RDMC"
"200","H4","HEVI",0.0982760277801824,"RDMC"
"201","H1","MACA",0.132569740657952,"RDMC"
"202","H2","MACA",0.0848103840765702,"RDMC"
"203","H3","MACA",0.112145370424021,"RDMC"
"204","H4","MACA",0.0860267250550945,"RDMC"
"205","H1","MUPO",0.26922619047619,"RDMC"
"206","H2","MUPO",0.0995639860694046,"RDMC"
"207","H3","MUPO",0.111489788042094,"RDMC"
"208","H4","MUPO",0.145073990180231,"RDMC"
"209","H1","PAMU",0.152945742161272,"RDMC"
"210","H2","PAMU",0.0783957834671794,"RDMC"
"211","H3","PAMU",0.0704313426413831,"RDMC"
"212","H4","PAMU",0.0648775169938381,"RDMC"
"213","H1","PLPA",0.141815430150542,"RDMC"
"214","H2","PLPA",0.109144781721066,"RDMC"
"215","H3","PLPA",0.0977226780332155,"RDMC"
"216","H4","PLPA",0.0999708055457021,"RDMC"
"217","H1","VUOC",0.198681477732794,"RDMC"
"218","H2","VUOC",0.128256199791228,"RDMC"
"219","H3","VUOC",0.129411855501356,"RDMC"
"220","H4","VUOC",0.151933174585722,"RDMC"
"221","H1","ACMI",0.14774,"RTD"
"222","H2","ACMI",0.0671428571428571,"RTD"
"223","H3","ACMI",0.0708788807616394,"RTD"
"224","H4","ACMI",0.0976793404273165,"RTD"
"225","H1","ARTR",0.0792333333333333,"RTD"
"226","H2","ARTR",0.0831261904761905,"RTD"
"227","H3","ARTR",0.0977884239549508,"RTD"
"228","H4","ARTR",0.122955128386868,"RTD"
"229","H1","ELTR",0.0572544586948274,"RTD"
"230","H2","ELTR",0.0563434473371777,"RTD"
"231","H3","ELTR",0.0432272507225729,"RTD"
"232","H4","ELTR",0.11560575091185,"RTD"
"233","H1","HEAN",0.107152210182319,"RTD"
"234","H2","HEAN",0.0764128822479526,"RTD"
"235","H3","HEAN",0.0842635502977668,"RTD"
"236","H4","HEAN",0.0924685986417075,"RTD"
"237","H1","HECO",0.0674308105287404,"RTD"
"238","H2","HECO",0.0593054849287381,"RTD"
"239","H3","HECO",0.0679911788407766,"RTD"
"240","H4","HECO",0.108109049519945,"RTD"
"241","H1","HEVI",0.0609935897435897,"RTD"
"242","H2","HEVI",0.117823312254195,"RTD"
"243","H3","HEVI",0.115282748950396,"RTD"
"244","H4","HEVI",0.0879517498164349,"RTD"
"245","H1","MACA",0.0911953968253968,"RTD"
"246","H2","MACA",0.0883156564196038,"RTD"
"247","H3","MACA",0.105601813730638,"RTD"
"248","H4","MACA",0.0898851996520517,"RTD"
"249","H1","MUPO",0.1765,"RTD"
"250","H2","MUPO",0.0798389049222383,"RTD"
"251","H3","MUPO",0.125755011957544,"RTD"
"252","H4","MUPO",0.136477752272962,"RTD"
"253","H1","PAMU",0.08971875,"RTD"
"254","H2","PAMU",0.0581054487179487,"RTD"
"255","H3","PAMU",0.0692162366618888,"RTD"
"256","H4","PAMU",0.0737693613453596,"RTD"
"257","H1","PLPA",0.062346062039812,"RTD"
"258","H2","PLPA",0.0435696824739121,"RTD"
"259","H3","PLPA",0.0376632794581278,"RTD"
"260","H4","PLPA",0.0770684994736308,"RTD"
"261","H1","VUOC",0.0476134788359788,"RTD"
"262","H2","VUOC",0.0400609119968612,"RTD"
"263","H3","VUOC",0.0394743425940612,"RTD"
"264","H4","VUOC",0.0288809991072384,"RTD"
